id,channel_id,duration(sec),domain
crVn176dV8Y,UCOqU-HfQxoyImaCW2tCDxJA,895,"news debates,news panel discussions,news roundtables,news talk shows"
dPNdAVxSavY,UCOqU-HfQxoyImaCW2tCDxJA,880,"news debates,news panel discussions,news roundtables,news talk shows"
dGICr2VR0eA,UCOqU-HfQxoyImaCW2tCDxJA,1670,"news debates,news panel discussions,news roundtables,news talk shows"
9aIoTGWVLQM,UCOqU-HfQxoyImaCW2tCDxJA,610,"news debates,news panel discussions,news roundtables,news talk shows"
hnu_wb3PvDo,UCOqU-HfQxoyImaCW2tCDxJA,905,"news debates,news panel discussions,news roundtables,news talk shows"
dHSWR5cps9Y,UCOqU-HfQxoyImaCW2tCDxJA,228,"news debates,news panel discussions,news roundtables,news talk shows"
ctCQDX1A-4M,UC_E7W_Thy7iN3PMZ0UBkLkQ,741,vlogs
hpj6VUjfrws,UCOqU-HfQxoyImaCW2tCDxJA,800,"news debates,news panel discussions,news roundtables,news talk shows"
dHtLVsl18wI,UCOqU-HfQxoyImaCW2tCDxJA,1030,"news debates,news panel discussions,news roundtables,news talk shows"
ctxlKH2_Poo,UCMCQsRtK35oihJpioJvWqsg,442,cooking
9jQ3OorJtbw,UC-upbfbj9RXHsjz4rTUTcSg,616,vlogs
AG9PrKziako,UCOqU-HfQxoyImaCW2tCDxJA,3590,"news debates,news panel discussions,news roundtables,news talk shows"
d0ZQEoCLReg,UCOqU-HfQxoyImaCW2tCDxJA,1825,"news debates,news panel discussions,news roundtables,news talk shows"
BVYsJ9HAn6s,UCOqU-HfQxoyImaCW2tCDxJA,1770,"news debates,news panel discussions,news roundtables,news talk shows"
d0tBaSHdbEI,UCOqU-HfQxoyImaCW2tCDxJA,1460,"news debates,news panel discussions,news roundtables,news talk shows"
APAc3M2Y1B8,UCOqU-HfQxoyImaCW2tCDxJA,1925,"news debates,news panel discussions,news roundtables,news talk shows"
IYzWitvJZzU,UCOqU-HfQxoyImaCW2tCDxJA,1430,"news debates,news panel discussions,news roundtables,news talk shows"
uDmZdMbny6A,UCMi9xvkPHY2Y37Fdwdk0OLA,681,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
Mx0G68Kdk-c,UCMi9xvkPHY2Y37Fdwdk0OLA,523,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
v_BW9LjOyv4,UCMi9xvkPHY2Y37Fdwdk0OLA,434,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
4AlB-EO9SYY,UCOqU-HfQxoyImaCW2tCDxJA,1445,"news debates,news panel discussions,news roundtables,news talk shows"
4y8yngeLmeQ,UCOqU-HfQxoyImaCW2tCDxJA,1579,"news debates,news panel discussions,news roundtables,news talk shows"
lhzcTN9s41s,UCOqU-HfQxoyImaCW2tCDxJA,290,"news debates,news panel discussions,news roundtables,news talk shows"
yXPqGBlaMPY,UCOqU-HfQxoyImaCW2tCDxJA,920,"news debates,news panel discussions,news roundtables,news talk shows"
dN1nVoITGQU,UCOqU-HfQxoyImaCW2tCDxJA,1670,"news debates,news panel discussions,news roundtables,news talk shows"
ArfzYhMVKGE,UCOqU-HfQxoyImaCW2tCDxJA,1660,"news debates,news panel discussions,news roundtables,news talk shows"
d2bnq9gmBTg,UCMCQsRtK35oihJpioJvWqsg,186,cooking
6d4MkLWrjJ4,UCOqU-HfQxoyImaCW2tCDxJA,1675,"news debates,news panel discussions,news roundtables,news talk shows"
d1w4Ak5Nh4M,UCOqU-HfQxoyImaCW2tCDxJA,1465,"news debates,news panel discussions,news roundtables,news talk shows"
ARDDl5OQmh8,UCOqU-HfQxoyImaCW2tCDxJA,1465,"news debates,news panel discussions,news roundtables,news talk shows"
d9-kco_Fit0,UCOqU-HfQxoyImaCW2tCDxJA,41,"news debates,news panel discussions,news roundtables,news talk shows"
dUpuqJVuYGU,UCOqU-HfQxoyImaCW2tCDxJA,1031,"news debates,news panel discussions,news roundtables,news talk shows"
d97ZuyPYF2Y,UCOqU-HfQxoyImaCW2tCDxJA,355,"news debates,news panel discussions,news roundtables,news talk shows"
7tUPGWBbt-s,UCOqU-HfQxoyImaCW2tCDxJA,1010,"news debates,news panel discussions,news roundtables,news talk shows"
bjen7d4hBZg,UCOqU-HfQxoyImaCW2tCDxJA,295,"news debates,news panel discussions,news roundtables,news talk shows"
