id,channel_id,duration(sec),domain
hPJgFhG0Zn4,UCx8MbRAMH-KNJuFLKdsmZ_w,1470,podcast
GpCo3BuKxVY,UCx8MbRAMH-KNJuFLKdsmZ_w,1471,podcast
8zXN27MaiZc,UCvlR1No5dUpAFGURo_6KFiw,944,audiobook
4QmLc5xnUW8,UCx8MbRAMH-KNJuFLKdsmZ_w,197,podcast
1LnYpafq2hs,UCPxumlwhpRDJ18oURMAvyNA,302,news talk shows
vn3RxCTc_HA,UCGLv0gKOWpleaTPAieRJiag,602,documentary
HiNUbrfQjWY,UCPxumlwhpRDJ18oURMAvyNA,451,news talk shows
cKiEaQweoWw,UCh2tAyCpIEZlvRF9K42BbNA,311,tv serials
EM0JMfyCnHM,UCcTWxsdSV5J51ca_CftpTsw,882,documentary
QL8LfetJJuo,UCvlR1No5dUpAFGURo_6KFiw,1415,audiobook
LOW8j_WuYiw,UCcTWxsdSV5J51ca_CftpTsw,984,documentary
7vgtDfIIMC8,UCJ5djr7ssnILE9zHQtb0-9g,754,kids stories
1AXflD2ollA,UCJ5djr7ssnILE9zHQtb0-9g,493,kids stories
zoSGt7JOytQ,UCJ5djr7ssnILE9zHQtb0-9g,734,kids stories
o08xbc8IrLw,UCh2tAyCpIEZlvRF9K42BbNA,2534,tv serials
5b2YHKXMXvw,UCvlR1No5dUpAFGURo_6KFiw,880,audiobook
51aE01CX7CQ,UCcTWxsdSV5J51ca_CftpTsw,441,documentary
